日期,茅台收盘,平安收盘,茅台收益率,平安收益率
2020-06-03,7334.11,75.01,-0.0077562694143495925,0.009827679052234917
2020-06-04,7377.78,75.14,0.005954369378152302,0.0017331022530329143
2020-06-05,7463.25,75.3,0.01158478566723331,0.0021293585307424756
2020-06-08,7368.28,76.72,-0.012725019261045856,0.01885790172642765
2020-06-09,7420.79,76.5,0.007126493564305392,-0.0028675703858185297
2020-06-10,7456.51,75.58,0.004813503683570142,-0.012026143790849653
2020-06-11,7339.94,74.22,-0.015633319072863916,-0.017994178354061918
2020-06-12,7419.88,74.15,0.010891097202429423,-0.0009431420102397059
2020-06-15,7252.21,72.54,-0.022597400497043063,-0.021712744436952147
2020-06-16,7357.12,73.46,0.014465935211473546,0.012682657843948064
2020-06-17,7362.75,73.01,0.00076524509590703,-0.006125782738905405
2020-06-18,7402.95,73.4,0.005459916471427073,0.005341734009039811
2020-06-19,7537.82,73.42,0.0182184129299805,0.00027247956403253504
2020-06-22,7533.6,72.77,-0.00055984356219696,-0.008853173522201163
2020-06-23,7711.98,71.96,0.02367792290538384,-0.011130960560670644
2020-06-24,7724.71,72.26,0.0016506785546643865,0.004168982768204765
2020-06-29,7740.59,71.01,0.0020557406038543835,-0.017298643786327172
2020-06-30,7739.13,71.4,-0.00018861611324205718,0.005492184199408445
2020-07-01,7896.86,73.5,0.020380843841620422,0.02941176470588225
2020-07-02,8146.75,76.0,0.031644223146921835,0.03401360544217691
2020-07-03,8135.64,77.96,-0.0013637340043575197,0.025789473684210362
2020-07-06,8428.13,84.12,0.0359516891111209,0.07901487942534646
2020-07-07,8870.32,83.22,0.05246596813290738,-0.010699001426533572
2020-07-08,8836.85,85.69,-0.0037732573345719,0.029680365296803624
2020-07-09,8960.76,85.92,0.014021964840412515,0.0026840938265841885
2020-07-10,9000.21,82.34,0.004402528356969526,-0.04166666666666663
2020-07-13,9342.6,82.36,0.0380424456762678,0.00024289531212051685
2020-07-14,9242.15,81.3,-0.010751824973776136,-0.012870325400680005
2020-07-15,9194.57,80.22,-0.005148152756663804,-0.013284132841328344
2020-07-16,8498.48,78.22,-0.07570663989724369,-0.024931438544004036
2020-07-17,8669.57,78.02,0.020131835339966653,-0.0025568908207619367
2020-07-20,8613.85,82.8,-0.006427077698201833,0.061266341963599036
2020-07-21,8769.82,80.76,0.018106886003355083,-0.02463768115942022
2020-07-22,8820.47,79.93,0.005775489120643185,-0.010277365032194119
2020-07-23,8810.02,79.0,-0.001184744123612358,-0.011635180783185373
2020-07-24,8404.52,77.0,-0.04602713728232177,-0.025316455696202556
2020-07-27,8541.44,76.43,0.01629123376468855,-0.0074025974025973
2020-07-28,8779.87,76.38,0.027914496852989634,-0.0006541933795631838
2020-07-29,8789.92,77.3,0.0011446638731551495,0.012045037968054562
2020-07-30,8830.12,76.03,0.004573420463440003,-0.016429495472186195
2020-07-31,8820.97,75.9,-0.0010362260082537045,-0.0017098513744573385
2020-08-03,8769.82,76.44,-0.005798682004360067,0.007114624505928813
2020-08-04,8779.82,78.67,0.0011402742587647285,0.029173207744636276
2020-08-05,8769.82,77.13,-0.001138975514304419,-0.019575441718571285
2020-08-06,8618.87,77.15,-0.01721243993605326,0.00025930247633887404
2020-08-07,8583.9,76.33,-0.004057376431017223,-0.01062864549578757
2020-08-10,8598.93,77.01,0.001750952364309999,0.008908685968819663
2020-08-11,8641.74,76.77,0.004978526398051741,-0.003116478379431409
2020-08-12,8563.55,77.16,-0.009047946362653825,0.005080109417741285
2020-08-13,8604.0,76.6,0.004723508358099204,-0.007257646448937338
2020-08-14,8734.65,78.19,0.015184797768479807,0.02075718015665795
2020-08-17,8880.37,81.1,0.01668298100095611,0.0372170354265251
2020-08-18,8955.74,79.75,0.008487258976821899,-0.016646115906288506
2020-08-19,8865.29,78.17,-0.010099667922471967,-0.01981191222570533
2020-08-20,8749.72,77.6,-0.013036234573262862,-0.0072917999232443576
2020-08-21,8810.02,78.25,0.006891649104199926,0.008376288659793785
2020-08-24,8912.27,77.8,0.011606103050844307,-0.005750798722044759
2020-08-25,9066.28,78.11,0.017280670356710548,0.003984575835475512
2020-08-26,9066.28,76.8,0.0,-0.016771220074254245
2020-08-27,9086.38,76.54,0.0022170063135042994,-0.0033854166666665853
2020-08-28,9217.03,77.89,0.014378663450131057,0.0176378364253984
2020-08-31,9365.26,76.62,0.016082186995159953,-0.01630504557709589
2020-09-01,9443.04,76.38,0.008305161842810715,-0.003132341425215457
2020-09-02,9407.97,75.93,-0.0037138463884512918,-0.005891594658287369
2020-09-03,9397.92,75.39,-0.0010682432023060295,-0.007111813512445719
2020-09-04,9282.35,74.82,-0.012297401978310085,-0.007560684440907406
2020-09-07,9048.7,75.06,-0.02517142749411516,0.0032076984763433902
2020-09-08,8987.9,77.14,-0.006719197232751828,0.02771116440181176
2020-09-09,8870.32,76.48,-0.013082032510375097,-0.008555872439719892
2020-09-10,8959.76,76.52,0.010083063519692681,0.0005230125523012497
2020-09-11,9096.43,77.21,0.015253756797056983,0.009017250392054255
2020-09-14,9262.25,78.55,0.018229129449685244,0.017355264862064512
2020-09-15,9232.1,79.91,-0.0032551485870063734,0.017313812858052113
2020-09-16,9056.74,78.6,-0.018994594945895393,-0.016393442622950838
2020-09-17,8782.48,79.0,-0.030282419501939994,0.0050890585241731845
2020-09-18,8905.49,82.89,0.01400629434965972,0.04924050632911392
2020-09-21,8763.79,80.93,-0.01591153322276473,-0.023645795632766253
2020-09-22,8758.21,79.07,-0.0006367108294472734,-0.02298282466328938
2020-09-23,8679.27,78.56,-0.009013257275173658,-0.0064499810294674775
2020-09-24,8575.46,77.07,-0.011960683329358512,-0.018966395112016365
2020-09-25,8604.55,77.59,0.0033922378507975637,0.006747113014143213
2020-09-28,8734.65,77.95,0.015119907490804385,0.004639773166645211
2020-09-29,8690.93,76.8,-0.005005352246512329,-0.014753046824887872
2020-09-30,8772.33,76.26,0.009366086253139727,-0.007031249999999933
2020-10-09,8910.51,77.9,0.015751801402819954,0.021505376344086002
2020-10-12,9184.92,80.86,0.030796217051549224,0.037997432605904935
2020-10-13,9126.58,81.38,-0.006351715638241884,0.006430868167202508
2020-10-14,9076.33,81.38,-0.005505895965410956,0.0
2020-10-15,9056.23,81.4,-0.00221455147620242,0.0002457606291472736
2020-10-16,8990.91,82.0,-0.007212714341398141,0.0073710073710073765
2020-10-19,8925.59,81.85,-0.007265115544477618,-0.0018292682926830395
2020-10-20,9101.46,81.23,0.019704019566213482,-0.007574832009773824
2020-10-21,9098.09,82.4,-0.0003702702643311184,0.014403545488120173
2020-10-22,9144.17,82.1,0.005064799315021018,-0.003640776699029291
2020-10-23,9007.64,83.5,-0.014930824776879792,0.01705237515225333
2020-10-26,8644.2,82.2,-0.04034797127771517,-0.015568862275449069
2020-10-27,8553.75,81.07,-0.010463663496911302,-0.013746958637469664
2020-10-28,8753.79,79.58,0.02338623410784746,-0.018379178487726633
2020-10-29,8810.02,78.66,0.00642350341966158,-0.011560693641618491
2020-10-30,8779.97,77.83,-0.0034108889650649177,-0.010551741673023085
2020-11-02,8800.02,77.23,0.0022836068915954577,-0.007709109597841324
2020-11-03,8905.49,79.16,0.011985200033636234,0.024990288747895884
2020-11-04,8928.5,79.5,0.0025837994315867086,0.004295098534613517
2020-11-05,9040.66,80.94,0.012562020496164061,0.01811320754716972
2020-11-06,8933.73,81.3,-0.011827676297969436,0.004447739065974732
2020-11-09,9144.52,82.98,0.023594847840711752,0.020664206642066585
2020-11-10,9156.73,83.2,0.0013352259057883842,0.0026512412629549065
2020-11-11,9088.14,83.52,-0.007490665335769475,0.0038461538461538325
2020-11-12,9105.43,82.27,0.001902479495254461,-0.014966475095785414
2020-11-13,8955.74,80.34,-0.016439640961492308,-0.02345934119363069
2020-11-16,9081.61,83.1,0.014054673315661237,0.034353995519043945
2020-11-17,9010.0,84.03,-0.007885165736031485,0.011191335740072361
2020-11-18,8898.71,85.37,-0.012351831298557214,0.015946685707485475
2020-11-19,9032.06,85.42,0.014985318096667921,0.0005856858381163565
2020-11-20,9030.91,84.54,-0.0001273242206096814,-0.010302036993678265
2020-11-23,9383.9,86.22,0.03908686942954809,0.019872249822569188
2020-11-24,9249.69,85.0,-0.014302155820074769,-0.014149849222918065
2020-11-25,9065.68,87.25,-0.019893639678735253,0.026470588235294024
2020-11-26,9103.42,89.15,0.004162953027241123,0.02177650429799427
2020-11-27,9121.05,90.1,0.0019366348031837344,0.010656197420078284
