日期,茅台收盘,平安收盘
2021-01-07,11141.52,86.26
2021-01-08,10890.28,86.1
2021-01-11,10939.17,84.03
2021-01-12,11246.54,87.82
2021-01-13,11262.12,87.54
2021-01-14,11111.37,85.27
2021-01-15,10850.08,86.9
2021-01-18,10754.61,87.2
2021-01-19,10485.33,86.8
2021-01-20,10642.21,85.2
2021-01-21,10789.79,84.44
2021-01-22,10839.78,83.8
2021-01-25,11317.39,84.88
2021-01-26,11151.02,83.0
2021-01-27,10885.26,83.04
2021-01-28,10880.23,80.92
2021-01-29,11021.83,79.08
2021-02-01,10987.36,79.27
2021-02-02,11166.65,78.18
2021-02-03,11392.31,76.54
2021-02-04,12050.25,79.62
2021-02-05,12010.81,79.72
2021-02-08,12291.19,78.57
2021-02-09,12731.52,78.13
2021-02-10,13457.95,79.25
2021-02-18,12804.73,82.38
2021-02-19,12749.45,84.2
2021-02-22,11885.29,83.0
2021-02-23,11980.66,84.32
2021-02-24,11387.74,83.78
2021-02-25,11191.77,87.14
2021-02-26,11054.99,85.18
2021-03-01,11231.97,84.84
2021-03-02,10729.49,83.23
2021-03-03,11141.52,86.75
2021-03-04,10603.87,86.3
2021-03-05,10740.09,84.5
2021-03-08,10237.06,84.95
2021-03-09,10121.44,84.05
2021-03-10,10287.36,83.28
2021-03-11,10679.24,86.36
2021-03-12,10568.7,85.55
2021-03-15,10314.69,85.11
2021-03-16,10490.81,85.4
2021-03-17,10590.6,82.54
2021-03-18,10788.28,81.42
2021-03-19,10488.3,79.64
2021-03-22,10387.75,79.82
2021-03-23,10417.95,80.05
2021-03-24,10382.78,79.01
2021-03-25,10292.33,79.2
2021-03-26,10503.37,80.01
2021-03-29,10609.4,79.13
2021-03-30,10719.69,79.37
2021-03-31,10483.27,78.7
2021-04-01,10661.65,79.2
2021-04-02,11252.07,78.88
2021-04-06,11071.32,79.03
2021-04-07,10744.56,78.45
2021-04-08,10789.79,78.63
2021-04-09,10538.55,77.16
2021-04-12,10482.72,77.16
2021-04-13,10543.57,76.56
2021-04-14,10674.22,77.15
2021-04-15,10516.44,75.81
2021-04-16,10714.31,75.7
2021-04-19,10880.23,76.18
2021-04-20,10914.4,76.0
2021-04-21,10840.03,75.62
2021-04-22,10716.93,74.37
2021-04-23,10985.45,74.26
2021-04-26,10829.08,72.89
2021-04-27,10912.59,73.27
2021-04-28,10649.09,72.81
2021-04-29,10570.5,73.82
2021-04-30,10472.12,72.5
2021-05-06,10232.03,70.53
2021-05-07,9950.65,70.1
2021-05-10,9830.2,70.03
2021-05-11,10232.03,70.28
2021-05-12,10357.65,69.93
2021-05-13,10294.84,69.14
2021-05-14,10487.54,71.18
2021-05-17,10729.29,70.37
2021-05-18,10736.07,70.9
2021-05-19,10684.27,69.97
2021-05-20,10733.91,70.72
2021-05-21,10649.59,70.05
2021-05-24,10796.27,69.94
2021-05-25,11415.37,72.46
2021-05-26,11543.5,72.38
2021-05-27,11669.12,72.9
2021-05-28,11593.75,72.97
2021-05-31,11533.46,71.8
2021-06-01,11648.77,71.13
2021-06-02,11553.55,70.87
2021-06-03,11554.66,70.68
2021-06-04,11701.79,70.85
2021-06-07,11799.77,70.28
2021-06-08,11397.79,70.41
2021-06-09,11440.5,70.3
2021-06-10,11636.36,70.01
2021-06-11,11336.53,69.4
2021-06-15,11407.84,67.07
2021-06-16,11231.97,67.0
2021-06-17,11226.49,66.25
2021-06-18,10895.01,65.1
2021-06-21,10848.27,64.16
2021-06-22,10814.76,64.73
2021-06-23,10628.99,65.82
2021-06-24,10779.99,65.96
