日期,茅台收盘,平安收盘,茅台收益率,平安收益率,茅台5日均线,茅台20日均线,茅台_看多信号,实际持仓,策略每日收益
2020-04-15,6280.41,70.85,0.0036130908626033,-0.0023936919177696,0.0048718469077087,0.0063405107106324,0,,
2020-04-16,6318.1,70.38,0.0060012005585623,-0.0066337332392377,0.0062785964713881,0.0083191710377865,0,0.0,0.0
2020-04-17,6463.31,72.4,0.0229831753216949,0.0287013356067065,0.0098086327969654,0.0100295404166667,0,0.0,0.0
2020-04-20,6469.85,73.5,0.0010118654373687,0.0151933701657458,0.0104514944499277,0.0082207280426794,1,0.0,0.0
2020-04-21,6332.67,72.37,-0.021202964520043,-0.0153741496598638,0.0024812735320372,0.0079036329375731,0,1.0,-0.021202964520043
2020-04-22,6556.27,72.07,0.0353089613070001,-0.004145364101147,0.0088204476209166,0.0079549575550567,1,0.0,0.0
2020-04-23,6595.27,72.16,0.005948504256231,0.0012487859025946,0.0088099083604503,0.0071728869485746,1,1.0,0.005948504256231
2020-04-24,6586.72,70.5,-0.0012963836203825,-0.0230044345898003,0.0039539965720348,0.0077736640818202,0,1.0,-0.0012963836203825
2020-04-27,6714.55,71.2,0.0194072315203925,0.0099290780141845,0.0076330697886396,0.0082739093491549,0,0.0,0.0
2020-04-28,6730.28,72.38,0.0023426737458205,0.0165730337078651,0.0123421974418123,0.0085450622546801,1,0.0,0.0
2020-04-29,6709.03,74.0,-0.0031573723530076,0.0223818734457033,0.0046489307098107,0.0066650739428563,0,1.0,-0.0031573723530076
2020-04-30,6662.8,74.46,-0.0068907129644671,0.006216216216216,0.0020810872656711,0.0066619729488486,0,0.0,-0.0
2020-05-06,6835.15,73.81,0.025867503151828,-0.0087295192049421,0.0075138646201132,0.0061501278172147,1,0.0,0.0
2020-05-07,6895.45,73.23,0.0088220448709976,-0.0078580138192656,0.0053968272902342,0.0068073682703344,0,1.0,0.0088220448709976
2020-05-08,6908.56,72.97,0.0019012537252827,-0.0035504574627885,0.0053085432861267,0.0060624822324417,0,0.0,0.0
2020-05-11,6950.77,73.9,0.0061098115960489,0.0127449636837058,0.007161980075938,0.0063758013285935,1,0.0,0.0
2020-05-12,7000.97,73.93,0.0072222214229502,0.000405953991881,0.0099845669534214,0.0067885397627327,1,1.0,0.0072222214229502
2020-05-13,7015.79,73.34,0.0021168495222805,-0.0079805221155146,0.0052344362275119,0.0066277325541563,0,1.0,0.0021168495222805
2020-05-14,6968.76,72.23,-0.0067034503598311,-0.0151349877283882,0.0021293371813462,0.0064026821775369,0,0.0,-0.0
2020-05-15,6900.47,72.23,-0.0097994478214201,0.0,-0.0002108031279943,0.0049803027829954,0,0.0,-0.0
2020-05-18,7067.34,72.2,0.0241824107633248,-0.0004153398864737,0.0034037167054608,0.0060087687780315,0,0.0,0.0
2020-05-19,7066.84,72.9,-7.074797590045367e-05,0.0096952908587257,0.0019451228256907,0.0057051713513084,0,0.0,-0.0
2020-05-20,7091.41,72.95,0.0034768015124155,0.0006858710562414,0.0022171132237177,0.0047298526608444,0,0.0,0.0
2020-05-21,7167.29,72.38,0.0107002697629949,-0.0078135709389993,0.0056978572482829,0.0052142728771257,1,0.0,0.0
2020-05-22,6976.85,70.12,-0.026570712221774,-0.0312240950538821,0.0023436043682121,0.0049458854920392,0,1.0,-0.026570712221774
2020-05-25,7151.21,70.03,0.0249912209664819,-0.001283513976041,0.0025053664088435,0.0044299984750133,0,0.0,0.0
2020-05-26,7126.59,70.51,-0.0034427740200608,0.0068542053405684,0.0018309612000115,0.0039604345611987,0,0.0,-0.0
2020-05-27,7026.09,70.65,-0.0141021161593413,0.0019855339668133,-0.0016848223343398,0.0033201479342507,0,0.0,-0.0
2020-05-28,7056.24,71.51,0.0042911491313091,0.0121726822363765,-0.002966646460677,0.0025643438147966,0,0.0,0.0
2020-05-29,7169.8,70.71,0.0160935569084952,-0.0111872465389457,0.0055662073653768,0.0032518879729303,1,0.0,0.0
2020-06-01,7435.61,72.16,0.0370735585371975,0.0205062933107056,0.0079826748795199,0.0052634345174405,1,1.0,0.0370735585371975
2020-06-02,7391.44,74.28,-0.005940333072875,0.029379157427938,0.0074831630689571,0.0053109535120202,1,1.0,-0.005940333072875
2020-06-03,7334.11,75.01,-0.0077562694143495,0.0098276790522349,0.0087523324179554,0.0036297648837113,1,1.0,-0.0077562694143495
2020-06-04,7377.78,75.14,0.0059543693781523,0.0017331022530329,0.0090849764673241,0.003486381109069,1,1.0,0.0059543693781523
2020-06-05,7463.25,75.3,0.0115847856672333,0.0021293585307424,0.0081832222190717,0.0039705577061665,1,1.0,0.0115847856672333
