日期,茅台收盘,平安收盘,茅台收益率,平安收益率,茅台5日均线,茅台20日均线
2020-04-15,6280.41,70.85,0.0036130908626033,-0.0023936919177696,0.00487184690770872,0.00634051071063244
2020-04-16,6318.1,70.38,0.0060012005585623,-0.0066337332392377,0.006278596471388159,0.008319171037786564
2020-04-17,6463.31,72.4,0.0229831753216949,0.0287013356067065,0.00980863279696546,0.010029540416666725
2020-04-20,6469.85,73.5,0.0010118654373687,0.0151933701657458,0.01045149444992776,0.00822072804267949
2020-04-21,6332.67,72.37,-0.021202964520043,-0.0153741496598638,0.0024812735320372398,0.0079036329375731
2020-04-22,6556.27,72.07,0.0353089613070001,-0.004145364101147,0.0088204476209166,0.00795495755505673
2020-04-23,6595.27,72.16,0.005948504256231,0.0012487859025946,0.00880990836045034,0.0071728869485746406
2020-04-24,6586.72,70.5,-0.0012963836203825,-0.0230044345898003,0.00395399657203486,0.0077736640818202845
2020-04-27,6714.55,71.2,0.0194072315203925,0.0099290780141845,0.00763306978863962,0.00827390934915497
2020-04-28,6730.28,72.38,0.0023426737458205,0.0165730337078651,0.012342197441812319,0.008545062254680184
2020-04-29,6709.03,74.0,-0.0031573723530076,0.0223818734457033,0.0046489307098107795,0.0066650739428563335
2020-04-30,6662.8,74.46,-0.0068907129644671,0.006216216216216,0.0020810872656711592,0.0066619729488486155
2020-05-06,6835.15,73.81,0.025867503151828,-0.0087295192049421,0.00751386462011326,0.00615012781721471
2020-05-07,6895.45,73.23,0.0088220448709976,-0.0078580138192656,0.005396827290234279,0.006807368270334441
2020-05-08,6908.56,72.97,0.0019012537252827,-0.0035504574627885,0.00530854328612672,0.00606248223244172
2020-05-11,6950.77,73.9,0.0061098115960489,0.0127449636837058,0.007161980075938021,0.00637580132859353
2020-05-12,7000.97,73.93,0.0072222214229502,0.000405953991881,0.00998456695342148,0.0067885397627327855
2020-05-13,7015.79,73.34,0.0021168495222805,-0.0079805221155146,0.005234436227511979,0.00662773255415639
2020-05-14,6968.76,72.23,-0.0067034503598311,-0.0151349877283882,0.002129337181346239,0.006402682177536975
2020-05-15,6900.47,72.23,-0.0097994478214201,0.0,-0.00021080312799432073,0.00498030278299549
2020-05-18,7067.34,72.2,0.0241824107633248,-0.0004153398864737,0.0034037167054608596,0.006008768778031565
2020-05-19,7066.84,72.9,-7.074797590045367e-05,0.0096952908587257,0.0019451228256907288,0.005705171351308427
2020-05-20,7091.41,72.95,0.0034768015124155,0.0006858710562414,0.002217113223717729,0.004729852660844457
2020-05-21,7167.29,72.38,0.0107002697629949,-0.0078135709389993,0.0056978572482829296,0.005214272877125767
2020-05-22,6976.85,70.12,-0.026570712221774,-0.0312240950538821,0.0023436043682121487,0.004945885492039217
2020-05-25,7151.21,70.03,0.0249912209664819,-0.001283513976041,0.0025053664088435694,0.004429998475013307
2020-05-26,7126.59,70.51,-0.0034427740200608,0.0068542053405684,0.0018309612000115,0.003960434561198717
2020-05-27,7026.09,70.65,-0.0141021161593413,0.0019855339668133,-0.00168482233433986,0.0033201479342507777
2020-05-28,7056.24,71.51,0.0042911491313091,0.0121726822363765,-0.00296664646067702,0.002564343814796608
2020-05-29,7169.8,70.71,0.0160935569084952,-0.0111872465389457,0.00556620736537682,0.0032518879729303424
2020-06-01,7435.61,72.16,0.0370735585371975,0.0205062933107056,0.007982674879519942,0.005263434517440597
2020-06-02,7391.44,74.28,-0.005940333072875,0.029379157427938,0.007483163068957102,0.0053109535120202025
2020-06-03,7334.11,75.01,-0.0077562694143495,0.0098276790522349,0.00875233241795546,0.003629764883711328
2020-06-04,7377.78,75.14,0.0059543693781523,0.0017331022530329,0.009084976467324101,0.003486381109069063
2020-06-05,7463.25,75.3,0.0115847856672333,0.0021293585307424,0.00818322221907172,0.003970557706166593
2020-06-08,7368.28,76.72,-0.0127250192610458,0.0188579017264276,-0.00177649334057694,0.003028816163311858
2020-06-09,7420.79,76.5,0.0071264935643053,-0.0028675703858185,0.0008368719868591199,0.0030240297703796127
2020-06-10,7456.51,75.58,0.0048135036835701,-0.0120261437908496,0.00335082660644304,0.0031588624784440926
2020-06-11,7339.94,74.22,-0.0156333190728639,-0.0179941783540619,-0.0009667110837602001,0.0027123690427924524
2020-06-12,7419.88,74.15,0.0108910972024294,-0.0009431420102397,-0.00110544877672098,0.0037468962939849275
2020-06-15,7252.21,72.54,-0.022597400497043,-0.0217127444369521,-0.00307992502392042,0.0014079057309665376
2020-06-16,7357.12,73.46,0.0144659352114735,0.012682657843948,-0.0016120366944867802,0.0021347398903352353
2020-06-17,7362.75,73.01,0.000765245095907,-0.0061257827389054,-0.0024216884120194003,0.0019991620695098103
2020-06-18,7402.95,73.4,0.005459916471427,0.0053417340090398,0.0017969586968387796,0.001737144404931415
2020-06-19,7537.82,73.42,0.0182184129299805,0.0002724795640325,0.003262421842348999,0.00397660066251914
2020-06-22,7533.6,72.77,-0.0005598435621969,-0.0088531735222011,0.007669933229318219,0.0026990474360851996
2020-06-23,7711.98,71.96,0.0236779229053838,-0.0111309605606706,0.00951233076810028,0.00405508228235743
2020-06-24,7724.71,72.26,0.0016506785546643,0.0041689827682047,0.009689417459851739,0.0048427220180577105
2020-06-29,7740.59,71.01,0.0020557406038543,-0.0172986437863271,0.0090085822863372,0.004730951591684971
2020-06-30,7739.13,71.4,-0.000188616113242,0.0054921841994084,0.005327176477692699,0.00391684294059811
2020-07-01,7896.86,73.5,0.0203808438416204,0.0294117647058822,0.009515313958456159,0.003082207205819255
